"Farm.ID","Landscape","Farmtype","Stage","Source","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%"
"MO1","Mount","Or","Tillering","Rice.herb","0.230","0.177","0.031","0.042","0.102","0.177","0.301","0.611",0.719
"MO1","Mount","Or","Tillering","Tour.herb","0.225","0.224","0.003","0.007","0.049","0.145","0.339","0.724",0.814
"MO1","Mount","Or","Tillering","Detritivore","0.545","0.261","0.031","0.071","0.341","0.592","0.766","0.899",0.922
"MO1","Mount","Or","Flowering","Rice.herb","0.490","0.214","0.136","0.182","0.334","0.461","0.627","0.890",0.926
"MO1","Mount","Or","Flowering","Tour.herb","0.157","0.163","0.003","0.006","0.035","0.100","0.224","0.502",0.597
"MO1","Mount","Or","Flowering","Detritivore","0.353","0.219","0.012","0.025","0.150","0.367","0.527","0.696",0.742
"MO1","Mount","Or","Ripening","Rice.herb","0.832","0.175","0.237","0.481","0.788","0.881","0.943","0.986",0.992
"MO1","Mount","Or","Ripening","Tour.herb","0.079","0.144","0.001","0.001","0.008","0.027","0.078","0.363",0.592
"MO1","Mount","Or","Ripening","Detritivore","0.088","0.085","0.002","0.003","0.022","0.063","0.130","0.261",0.306
"MO2","Mount","Or","Tillering","Rice.herb","0.377","0.265","0.042","0.061","0.162","0.284","0.603","0.866",0.913
"MO2","Mount","Or","Tillering","Tour.herb","0.448","0.298","0.003","0.007","0.107","0.529","0.697","0.861",0.893
"MO2","Mount","Or","Tillering","Detritivore","0.175","0.139","0.012","0.019","0.072","0.143","0.241","0.425",0.504
"MO2","Mount","Or","Flowering","Rice.herb","0.642","0.225","0.165","0.230","0.489","0.658","0.829","0.959",0.977
"MO2","Mount","Or","Flowering","Tour.herb","0.268","0.218","0.002","0.005","0.075","0.232","0.414","0.688",0.756
"MO2","Mount","Or","Flowering","Detritivore","0.090","0.088","0.005","0.008","0.030","0.062","0.121","0.263",0.333
"MO3","Mount","Or","Tillering","Rice.herb","0.240","0.167","0.037","0.051","0.118","0.196","0.319","0.583",0.695
"MO3","Mount","Or","Tillering","Tour.herb","0.354","0.250","0.003","0.009","0.122","0.348","0.543","0.782",0.834
"MO3","Mount","Or","Tillering","Detritivore","0.406","0.247","0.026","0.052","0.206","0.377","0.585","0.845",0.89
"MO3","Mount","Or","Flowering","Rice.herb","0.518","0.204","0.126","0.179","0.371","0.517","0.670","0.857",0.9
"MO3","Mount","Or","Flowering","Tour.herb","0.231","0.180","0.004","0.009","0.084","0.194","0.345","0.572",0.651
"MO3","Mount","Or","Flowering","Detritivore","0.250","0.194","0.013","0.022","0.096","0.199","0.374","0.639",0.713
