"d13C","d15N","Farm","Stage"
-24.5643081606496,10.059820896453,"SO1","Seedling"
-24.2570307593651,10.8262761374902,"SO1","Seedling"
-26.5402187012136,6.97548521146505,"MC2","Seedling"
-25.2045909212106,8.10605405569859,"LO1","Seedling"
-24.6152384876685,8.94239066709039,"LO1","Seedling"
-24.7552922119169,8.49697826112894,"MO1","Tillering"
-21.8522634521728,8.54545293261834,"MO2","Tillering"
-19.001788796825,8.37753103360361,"MO2","Tillering"
-25.0327850331691,9.76014834099899,"MO2","Tillering"
-21.6072848177196,8.23903910619856,"MO3","Tillering"
-23.1475330387609,8.97975358597969,"MO3","Tillering"
-22.6628074212594,9.69255817235238,"MO3","Tillering"
-26.8711003441086,11.0290942647076,"MC1","Tillering"
-27.3669470454942,6.03681827748067,"MC1","Tillering"
-25.538264499583,6.6062512595289,"MC1","Tillering"
-24.0107846487589,7.35951007659132,"MC1","Tillering"
-27.6619288029658,7.52232641169486,"MC1","Tillering"
-23.9641669289684,8.12292203826155,"LO1","Tillering"
-23.4330396875506,8.8190474264936,"LO1","Tillering"
-26.4336749769633,8.71473593978913,"LO1","Tillering"
-22.5260995981598,9.46062348383908,"LO1","Tillering"
-23.4198966442939,7.72442207698104,"LO1","Tillering"
-24.5267782426244,8.56151880195531,"LO1","Tillering"
-22.7640289542808,9.52068778945678,"LC1","Tillering"
-24.9018792202312,8.80241411471313,"LC1","Tillering"
-23.0049088828256,9.99243241987374,"LC1","Tillering"
-28.462589116153,7.54275529618921,"LC1","Tillering"
-26.0188501341926,5.8097928650298,"MC2","Tillering"
-25.6888005507886,7.24344808384767,"MC2","Tillering"
-25.8044197571757,6.7236780662816,"MC2","Tillering"
-23.7332635449342,8.80944626431344,"MC3","Tillering"
-23.1170561432426,9.24020154485586,"MC3","Tillering"
-23.7810848303642,8.45086854249415,"MC3","Tillering"
-23.540968060308,9.2788215998111,"LO2","Tillering"
-24.03958390126,9.09482163885372,"LO2","Tillering"
-24.5018092494186,8.77530847693006,"LO2","Tillering"
-27.9969248551106,11.2044664975865,"LO2","Tillering"
-23.9898584221411,8.2106542851329,"LO2","Tillering"
-24.835907859271,8.47559065138178,"LO3","Tillering"
-22.8305587118339,10.564808920621,"LO3","Tillering"
-23.9475658343747,9.08223963025926,"LO3","Tillering"
-27.8960650300132,10.4976152947953,"LO3","Tillering"
-27.3301559369577,9.85688582157583,"LO3","Tillering"
-28.0955384621354,10.6800741785787,"LO3","Tillering"
-24.2577028904864,7.87983007055312,"LC2","Tillering"
-24.2395469788384,9.56583948298132,"LC2","Tillering"
-27.9712961423658,8.97688300629913,"LC3","Tillering"
-25.4831751413227,10.9330214213604,"SO1","Tillering"
-24.1097809233475,12.6278354773266,"SO1","Tillering"
-26.2201275872056,2.9565890350023,"SO1","Tillering"
-27.7925462885596,7.07670575174387,"LC3","Tillering"
-25.3859525811065,7.86116176203652,"LC3","Tillering"
-25.8903437383223,8.67077310759588,"LC3","Tillering"
-27.439322713537,8.36003150755745,"LC3","Tillering"
-25.0454689468354,8.76403017095019,"LC3","Tillering"
-25.1218906275516,7.90431048685351,"SC1","Tillering"
-24.2572933401869,8.12150700220935,"SC1","Tillering"
-23.7239975009259,7.99584805386403,"SC1","Tillering"
-25.895816181259,9.43690182279378,"SC1","Tillering"
